period,buy_volume,sell_volume
23:00 - 00:00,11777.2,11092.2
00:00 - 01:00,11938.7,11239.4
01:00 - 02:00,11989.4,10840.9
02:00 - 03:00,11951.8,10633.2
03:00 - 04:00,11942.9,10543.2
04:00 - 05:00,11110.2,10014.0
05:00 - 06:00,10765.6,9381.8
06:00 - 07:00,11864.5,10464.8
07:00 - 08:00,14197.5,12797.8
08:00 - 09:00,15482.9,14083.2
09:00 - 10:00,16269.1,14869.4
10:00 - 11:00,16036.7,14637.0
11:00 - 12:00,15972.9,14573.2
12:00 - 13:00,16132.0,14732.3
13:00 - 14:00,15901.0,14501.3
14:00 - 15:00,15478.0,14078.3
15:00 - 16:00,15647.9,14248.2
16:00 - 17:00,16486.2,15086.5
17:00 - 18:00,17775.0,16375.3
18:00 - 19:00,18829.9,17430.2
19:00 - 20:00,18132.7,16733.0
20:00 - 21:00,16556.1,15156.4
21:00 - 22:00,14137.7,12738.0
22:00 - 23:00,13089.5,11689.8
